age,gender,income,education_level,marital_status,mental_health_condition,savings_amount,employment_status,family_size,debt_amount,physical_activity_level,credit_score,sleep_quality,risk_tolerance,insurance_coverage,social_support_network,stress_level,access_to_healthcare,financial_goals,resilience_score,calculated_risk_score,calculated_resilience_score,net_risk_score,risk_category,risk_resilience_ratio,debt_to_income_ratio
58,1,81523.81,2,1,0,92614.66,3,6,33995.02,0,726,2,2,0,6,3,0,1,97,20,72,-52,Low Risk,0.27,0.42
34,4,229502.64,3,0,2,118749.03,3,10,27537.71,3,505,0,2,1,6,0,0,0,66,61,75,-14,Low Risk,0.8,0.12
85,0,75693.45,2,3,0,156338.14,1,4,126943.38,3,759,2,1,1,1,0,1,4,37,35,83,-48,Low Risk,0.42,1.68
78,1,89501.01,2,1,0,28207.34,2,6,154621.98,0,563,3,1,1,9,0,1,3,26,32,62,-30,Low Risk,0.51,1.73
62,0,38373.07,4,3,3,109660.71,3,9,100157.03,1,703,3,2,0,4,3,1,1,37,44,82,-38,Low Risk,0.53,2.61
50,0,75041.79,1,0,1,178473.81,3,7,4729.57,1,609,1,1,1,4,10,1,0,2,32,62,-30,Low Risk,0.51,0.06
32,1,14962.48,1,3,3,224039.18,1,10,135126.59,2,745,2,2,1,9,9,1,3,94,58,74,-16,Low Risk,0.77,9.03
68,1,9880.42,4,3,3,105283.8,1,8,109175.72,2,485,2,0,0,3,3,0,4,19,69,57,12,Medium Risk,1.19,11.05
37,0,101670.83,2,2,1,229611.71,2,8,186307.36,3,635,2,1,0,7,2,0,1,14,74,74,0,Medium Risk,0.99,1.83
67,0,1836.8,1,3,0,99586.0,0,8,50423.01,1,412,2,2,0,5,0,1,0,70,65,40,25,High Risk,1.59,27.44
18,0,235363.96,4,0,3,249720.87,1,4,27795.1,2,303,0,0,1,2,4,1,0,97,72,66,6,Medium Risk,1.07,0.12
78,1,90871.86,4,1,3,191568.75,2,5,171755.38,2,768,1,2,0,0,6,1,3,76,45,84,-39,Low Risk,0.53,1.89
37,0,50050.99,3,1,0,244987.27,2,3,93821.8,2,583,1,1,1,5,0,1,1,17,29,65,-36,Low Risk,0.44,1.87
31,1,95251.57,4,2,1,114955.06,0,5,199937.87,2,814,0,2,1,4,6,1,1,47,79,78,1,Medium Risk,1.0,2.1
46,1,82033.93,2,0,2,244712.39,3,5,85979.65,0,499,2,1,0,9,4,1,1,88,51,58,-7,Medium Risk,0.86,1.05
46,0,209421.69,1,0,1,119124.35,2,3,165051.68,1,456,3,1,1,8,5,1,0,58,58,71,-13,Low Risk,0.81,0.79
73,1,17958.29,2,2,2,119886.95,2,9,165432.48,0,695,2,0,1,8,2,1,4,99,50,68,-18,Low Risk,0.72,9.21
20,1,224202.95,1,0,1,209604.86,1,5,36740.82,2,413,2,1,0,8,9,0,0,22,78,65,13,Medium Risk,1.18,0.16
52,0,226406.29,2,0,1,248948.12,1,9,207594.29,2,843,0,2,0,3,3,1,4,78,77,90,-13,Low Risk,0.85,0.92
63,1,127499.9,4,2,1,2116.69,3,9,141018.16,0,752,1,0,1,7,8,1,1,35,48,76,-28,Low Risk,0.62,1.11
67,0,230015.59,2,0,2,71703.49,0,8,39532.6,0,439,2,1,0,2,2,1,3,13,79,61,18,Medium Risk,1.27,0.17
69,3,217737.14,4,0,3,116638.84,1,1,146648.27,1,417,3,0,1,10,7,0,1,91,78,73,5,Medium Risk,1.05,0.67
23,0,48626.51,1,2,1,188413.75,0,8,191584.04,1,507,1,1,1,7,8,0,4,21,100,32,68,High Risk,3.03,3.94
39,1,63669.29,4,1,1,181160.19,3,7,178917.49,2,622,0,1,0,6,9,1,1,62,59,66,-7,Medium Risk,0.88,2.81
85,0,93403.16,2,1,2,130654.04,1,8,150983.84,2,366,0,0,1,9,8,0,2,1,89,53,36,High Risk,1.65,1.62
65,0,35392.22,2,3,0,26658.07,0,7,227376.65,0,435,0,2,1,7,0,0,4,8,80,42,38,High Risk,1.86,6.42
81,0,192049.0,1,3,1,104952.95,2,3,146993.89,3,725,1,2,1,9,0,0,0,69,36,90,-54,Low Risk,0.4,0.77
46,2,85818.87,4,0,3,47158.46,1,6,151385.75,3,729,1,0,1,5,7,1,1,49,65,67,-2,Medium Risk,0.96,1.76
49,1,165974.46,1,1,2,96937.83,0,5,143596.99,0,587,2,2,0,7,5,0,3,56,80,49,31,High Risk,1.6,0.87
27,1,528.98,1,0,2,248189.06,3,10,123488.64,2,723,1,1,1,10,2,1,4,35,49,69,-20,Low Risk,0.7,233.01
77,1,130151.66,4,3,3,211220.7,0,10,153725.9,0,328,1,1,0,4,7,1,0,99,89,58,31,High Risk,1.51,1.18
47,5,224819.15,2,1,3,176692.75,3,3,121852.21,2,376,0,0,1,1,6,0,2,59,74,61,13,Medium Risk,1.19,0.54
65,1,69748.15,1,3,2,53737.02,0,2,214406.66,2,713,1,2,1,0,3,1,2,48,65,62,3,Medium Risk,1.03,3.07
67,0,105849.77,2,1,1,71514.19,2,10,209887.92,3,419,0,2,0,4,8,0,0,61,87,60,27,High Risk,1.43,1.98
37,0,141979.44,1,2,1,149366.49,2,10,172941.45,0,447,0,0,0,3,1,1,0,5,82,43,39,High Risk,1.86,1.22
28,0,183976.62,2,1,3,93624.03,1,7,130490.84,0,602,0,1,1,2,4,1,2,20,63,55,8,Medium Risk,1.12,0.71
18,1,124603.78,2,0,0,35914.12,0,9,192816.27,1,743,0,0,1,5,8,1,3,5,87,52,35,High Risk,1.64,1.55
18,0,90976.15,2,2,1,245309.55,2,2,65841.67,0,814,3,0,0,4,10,0,1,24,65,74,-9,Medium Risk,0.87,0.72
32,1,199175.14,3,3,2,15565.58,0,4,238391.48,0,626,0,2,0,1,9,1,4,96,98,50,48,High Risk,1.92,1.2
20,0,214291.82,3,1,2,112889.63,0,4,242979.2,3,315,3,2,0,4,7,1,2,43,100,64,36,High Risk,1.54,1.13
65,0,19899.31,3,2,2,147276.12,2,4,104984.99,2,452,0,1,1,6,7,1,4,68,59,63,-4,Medium Risk,0.92,5.28
77,1,88242.03,4,1,0,49079.52,2,4,129037.56,1,473,0,0,0,2,4,1,3,42,48,52,-4,Medium Risk,0.91,1.46
26,0,31575.26,1,0,1,61962.65,3,1,125929.05,0,311,2,0,0,2,6,0,2,96,89,32,57,High Risk,2.7,3.99
72,1,154389.72,1,1,3,246561.29,3,10,116114.43,0,607,3,2,0,8,10,0,4,52,59,77,-18,Low Risk,0.76,0.75
72,0,191196.26,3,2,3,144871.49,3,2,187191.23,0,517,1,1,0,3,4,0,0,85,67,57,10,Medium Risk,1.16,0.98
70,0,20840.98,3,0,0,34544.95,1,9,246379.47,1,522,3,1,0,0,4,0,3,46,85,43,42,High Risk,1.93,11.82
71,0,28928.35,3,3,0,43866.7,2,1,238731.89,3,357,3,1,0,6,5,0,1,18,68,63,5,Medium Risk,1.06,8.25
55,1,54992.27,3,1,0,177751.92,3,1,14116.02,1,486,0,1,1,0,9,1,1,32,37,59,-22,Low Risk,0.62,0.26
18,0,233392.85,1,1,1,55094.72,2,3,159904.71,1,327,1,0,1,7,7,1,3,75,71,60,11,Medium Risk,1.16,0.69
52,0,186318.92,2,1,1,78151.27,0,3,217462.78,1,811,1,2,1,7,5,1,1,0,64,83,-19,Low Risk,0.76,1.17
59,1,120128.41,1,3,1,103151.34,3,5,234121.62,2,588,2,1,1,3,2,0,3,11,53,64,-11,Low Risk,0.82,1.95
72,0,186466.67,2,1,2,205403.16,1,7,156332.24,0,660,3,0,0,10,5,0,3,48,65,75,-10,Low Risk,0.86,0.84
18,1,30742.24,2,1,2,95246.5,0,8,34281.49,3,792,3,1,1,10,4,0,0,7,62,57,5,Medium Risk,1.07,1.12
35,1,216304.16,3,3,0,98837.67,2,3,170713.69,1,520,0,0,1,7,5,0,2,84,47,71,-24,Low Risk,0.65,0.79
63,4,249705.1,2,3,2,246718.02,0,7,126473.12,1,342,1,2,0,3,7,1,4,31,91,67,24,High Risk,1.34,0.51
27,1,221702.3,4,3,3,52165.85,3,9,81713.9,2,729,0,1,0,6,9,0,4,17,58,95,-37,Low Risk,0.6,0.37
85,1,156917.52,1,1,2,37158.56,1,9,102574.95,0,436,3,0,0,4,0,1,4,92,68,50,18,Medium Risk,1.33,0.65
80,1,190391.59,3,2,2,12514.35,1,1,91563.88,1,587,3,0,1,2,0,0,4,67,62,54,8,Medium Risk,1.13,0.48
38,0,5472.07,2,3,0,8944.79,0,4,228910.19,1,794,0,2,0,3,5,0,1,88,78,54,24,High Risk,1.42,41.82
78,0,4170.0,2,1,0,231882.52,1,6,201174.03,3,519,2,0,1,0,4,1,4,65,57,51,6,Medium Risk,1.1,48.23
49,0,172968.96,4,3,0,133565.18,2,8,226136.78,3,336,1,2,1,8,2,1,3,2,57,89,-32,Low Risk,0.63,1.31
29,0,137292.77,4,3,0,146839.14,0,10,193184.32,0,305,2,1,0,7,2,1,1,51,91,59,32,High Risk,1.52,1.41
71,1,187034.06,4,3,2,206201.0,2,9,201268.56,0,358,2,1,0,8,2,1,1,45,65,85,-20,Low Risk,0.76,1.08
29,0,202199.64,3,3,1,18173.92,2,4,175031.03,0,653,0,0,0,5,10,1,1,24,68,70,-2,Medium Risk,0.96,0.87
82,0,152073.17,1,1,2,182517.04,3,10,144388.86,3,704,0,2,0,10,5,0,4,7,57,86,-29,Low Risk,0.66,0.95
23,1,169162.36,3,2,3,21302.22,0,1,62433.68,0,317,1,0,0,5,6,1,3,32,100,42,58,High Risk,2.33,0.37
18,0,10449.83,3,0,3,171290.68,3,1,130216.73,2,511,0,2,0,4,3,0,0,73,82,42,40,High Risk,1.91,12.46
37,0,188495.65,1,1,0,72610.36,2,1,35284.86,0,432,3,0,1,10,4,1,3,91,29,69,-40,Low Risk,0.41,0.19
23,0,204104.47,3,2,1,249661.49,2,6,146428.32,0,614,2,1,0,1,1,0,3,32,75,69,6,Medium Risk,1.07,0.72
37,1,168163.42,1,3,0,201301.95,2,1,17609.98,3,768,0,0,0,3,7,1,2,66,26,90,-64,Low Risk,0.29,0.1
27,1,80183.18,2,1,0,82467.37,0,10,203308.84,0,555,0,1,0,8,0,1,4,29,93,38,55,High Risk,2.38,2.54
84,0,69028.86,1,3,3,111931.59,1,8,249110.09,0,832,1,0,0,1,6,1,2,72,69,70,-1,Medium Risk,0.97,3.61
24,0,134670.7,4,1,2,184430.46,2,6,118658.3,1,734,2,2,1,5,2,1,1,74,45,84,-39,Low Risk,0.53,0.88
54,1,34262.08,3,2,2,124689.83,2,7,124076.3,1,402,1,1,0,10,0,0,1,83,64,58,6,Medium Risk,1.08,3.62
68,1,166940.26,2,2,3,157359.34,1,1,83274.87,1,632,1,1,0,2,8,1,1,54,66,63,3,Medium Risk,1.03,0.5
65,0,132238.67,4,1,3,57747.19,1,8,26894.2,2,320,1,2,0,1,3,1,1,74,65,64,1,Medium Risk,1.0,0.2
58,1,210043.13,1,0,3,215832.0,2,8,25152.68,1,316,2,1,0,0,9,0,0,40,69,68,1,Medium Risk,1.0,0.12
22,1,242299.97,2,1,0,195249.5,1,7,181574.72,1,638,2,1,0,3,6,1,3,2,66,61,5,Medium Risk,1.06,0.75
28,1,150865.97,2,1,2,247424.22,3,2,134211.25,2,441,2,1,1,6,0,1,1,52,49,69,-20,Low Risk,0.7,0.89
39,0,51625.08,4,1,1,87228.64,3,1,169078.51,2,539,1,1,1,8,10,1,0,73,60,58,2,Medium Risk,1.02,3.28
80,0,160145.74,1,2,2,217199.06,1,2,226819.24,2,397,1,0,1,3,7,0,3,71,87,54,33,High Risk,1.58,1.42
58,0,60664.92,4,1,2,224177.11,0,9,246234.73,0,404,0,1,0,1,8,1,1,69,100,45,55,High Risk,2.17,4.06
78,1,165880.9,4,0,1,25123.93,0,2,76002.69,2,797,1,0,0,0,3,0,0,53,65,65,0,Medium Risk,0.98,0.46
83,1,184276.57,1,3,1,162410.41,0,4,48606.54,2,673,1,2,0,1,2,0,0,52,58,68,-10,Low Risk,0.84,0.26
39,1,40242.35,4,2,0,45075.08,2,10,105924.53,0,814,2,2,0,10,10,1,3,78,52,80,-28,Low Risk,0.64,2.63
78,0,115198.95,2,1,1,86968.67,1,4,25320.91,0,330,0,2,0,4,9,1,4,92,64,57,7,Medium Risk,1.1,0.22
27,0,4534.46,1,3,3,111517.26,1,7,231850.87,1,670,3,0,0,10,5,0,2,6,80,58,22,High Risk,1.36,51.12
81,1,215376.29,3,1,2,64479.56,1,2,199199.41,1,735,2,2,1,3,3,0,0,33,49,74,-25,Low Risk,0.65,0.92
33,1,99875.89,2,1,0,10423.38,1,3,136964.32,1,455,3,1,0,10,4,1,4,9,62,45,17,Medium Risk,1.35,1.37
50,1,12234.66,2,1,1,238208.74,1,5,181749.03,2,387,2,1,0,10,5,1,2,19,71,54,17,Medium Risk,1.29,14.85
80,1,246448.7,1,3,2,81631.79,3,8,189867.5,0,773,2,1,0,2,6,1,3,29,48,87,-39,Low Risk,0.55,0.77
58,0,191498.57,2,1,3,229674.85,3,6,157436.03,3,816,1,1,0,8,1,0,4,62,49,98,-49,Low Risk,0.49,0.82
21,1,69681.35,1,2,0,115598.26,0,4,21409.29,0,678,2,2,0,4,2,0,1,30,69,52,17,Medium Risk,1.3,0.31
57,0,173396.01,3,2,0,85708.67,2,2,175747.53,2,453,1,0,0,4,8,1,4,57,66,62,4,Medium Risk,1.05,1.01
44,0,76893.84,4,1,0,100688.77,3,5,188556.31,0,436,3,1,0,5,5,1,2,2,54,60,-6,Medium Risk,0.89,2.45
46,1,35537.37,2,1,1,27074.98,0,2,40405.7,1,531,0,0,1,5,4,1,0,35,54,24,30,High Risk,2.16,1.14
20,0,90272.57,3,0,3,208253.52,2,3,353.81,2,728,3,1,1,8,7,0,3,73,45,87,-42,Low Risk,0.51,0.0
19,0,84040.65,4,3,2,93911.33,1,1,238352.98,1,315,0,2,1,2,4,0,4,67,100,48,52,High Risk,2.04,2.84
37,0,68691.75,4,0,1,184213.81,2,3,249600.71,1,364,2,1,1,6,10,1,3,37,74,68,6,Medium Risk,1.07,3.63
81,0,19243.66,4,3,0,229063.42,1,3,130213.46,2,700,1,1,0,2,9,0,1,93,60,75,-15,Low Risk,0.79,6.77
66,0,39645.99,2,2,3,63510.06,3,5,14343.95,2,449,1,1,0,7,4,1,1,18,45,57,-12,Low Risk,0.78,0.36
78,5,249606.95,3,3,0,119475.31,0,7,89611.04,1,602,2,0,0,6,7,0,1,50,66,79,-13,Low Risk,0.82,0.36
79,1,164551.11,1,1,0,91496.84,1,2,196406.4,1,743,1,2,1,1,3,0,2,23,45,65,-20,Low Risk,0.68,1.19
51,1,12875.53,1,1,3,208043.27,3,4,148589.14,3,828,2,0,1,3,10,1,1,87,32,78,-46,Low Risk,0.41,11.54
35,0,6022.33,3,3,3,104107.37,2,9,226721.2,1,366,0,2,0,4,0,1,0,63,78,54,24,High Risk,1.42,37.64
78,6,90656.95,2,2,3,233108.46,0,8,158382.85,1,484,2,0,0,2,7,0,3,68,100,45,55,High Risk,2.17,1.75
23,0,125190.95,4,3,1,153849.25,3,2,79232.32,2,580,3,0,1,8,6,0,4,9,57,69,-12,Low Risk,0.81,0.63
23,0,48825.85,3,3,3,48607.69,0,4,146626.54,0,525,2,0,0,2,3,1,4,90,92,31,61,High Risk,2.88,3.0
35,0,44116.49,4,3,1,163700.26,2,4,204686.47,3,604,1,1,0,6,2,0,4,71,63,72,-9,Medium Risk,0.86,4.64
19,1,165734.73,3,2,0,1246.29,2,3,197976.28,2,627,1,1,1,5,6,1,3,76,53,63,-10,Low Risk,0.83,1.19
27,0,185271.14,1,0,1,65094.7,0,5,200774.06,2,389,0,0,0,5,8,1,3,97,100,41,59,High Risk,2.38,1.08
28,5,182245.51,1,1,2,152027.64,2,4,106888.06,0,370,1,2,1,0,7,1,2,67,69,60,9,Medium Risk,1.13,0.59
40,5,239452.87,3,1,1,189935.3,0,8,62955.77,1,529,2,0,0,1,1,0,1,1,93,58,35,High Risk,1.58,0.26
71,1,236500.64,1,0,0,34648.63,1,1,106508.06,2,550,1,0,0,7,10,0,0,28,70,51,19,Medium Risk,1.35,0.45
69,1,184107.61,1,2,2,227202.37,1,1,219567.4,1,759,1,0,0,3,5,1,4,45,66,72,-6,Medium Risk,0.9,1.19
57,0,221812.26,4,2,1,13491.64,3,5,175491.4,2,672,0,1,0,10,3,0,4,55,67,80,-13,Low Risk,0.83,0.79
20,0,145483.8,2,1,1,170403.92,1,1,96777.35,2,376,1,0,0,1,1,1,2,24,84,41,43,High Risk,2.0,0.67
60,1,187134.05,3,3,3,148738.02,2,4,115738.36,2,688,2,1,1,7,6,1,4,96,35,94,-59,Low Risk,0.37,0.62
65,1,223712.15,1,3,2,91348.52,0,3,34996.97,3,683,2,0,0,5,5,0,2,90,54,79,-25,Low Risk,0.68,0.16
32,1,34703.49,3,3,3,98704.87,0,3,248484.58,0,381,3,0,1,5,7,0,1,95,98,40,58,High Risk,2.39,7.16
20,1,163042.41,3,1,0,96391.6,2,10,144487.06,1,528,0,2,1,4,1,0,4,79,60,60,0,Medium Risk,0.98,0.89
27,0,55334.47,1,0,2,109775.18,1,3,200183.18,3,455,2,2,0,4,9,1,2,45,96,50,46,High Risk,1.88,3.62
55,0,20639.47,3,3,2,32032.57,0,7,62005.97,0,482,1,1,1,9,9,1,4,4,70,48,22,High Risk,1.43,3.0
57,1,114480.86,2,2,2,5860.91,3,6,6758.77,0,490,2,1,1,5,5,1,2,31,34,62,-28,Low Risk,0.54,0.06
26,0,2266.41,2,2,0,157456.54,2,9,76229.08,3,716,2,2,0,10,2,0,0,27,56,69,-13,Low Risk,0.8,33.62
82,0,219487.09,3,0,0,99736.4,0,9,58918.53,1,808,3,2,1,5,9,0,0,58,63,90,-27,Low Risk,0.69,0.27
52,1,21189.2,3,2,1,210764.9,2,10,9558.36,2,540,3,0,0,0,1,1,0,29,51,52,-1,Medium Risk,0.96,0.45
70,1,113614.62,3,1,0,213983.51,0,9,187358.32,3,707,0,2,0,5,3,1,3,69,69,76,-7,Medium Risk,0.9,1.65
40,4,14876.36,4,1,3,29168.75,0,1,148545.29,0,332,1,1,1,3,5,1,3,2,85,35,50,High Risk,2.36,9.98
51,0,201559.25,1,1,3,198540.03,3,3,169761.44,1,396,2,1,1,0,9,1,3,31,65,66,-1,Medium Risk,0.97,0.84
19,0,145700.48,4,3,0,174436.69,0,2,79250.08,0,764,1,1,0,2,10,0,2,37,78,70,8,Medium Risk,1.1,0.54
81,3,20702.71,4,3,1,184304.97,2,5,68224.04,2,586,1,1,0,9,9,1,3,55,52,71,-19,Low Risk,0.72,3.3
39,0,8307.7,4,1,3,195566.34,3,1,46704.57,3,497,1,2,1,0,4,1,2,69,41,57,-16,Low Risk,0.71,5.62
74,0,28047.94,1,2,2,153360.67,1,9,15186.81,3,452,0,2,0,2,5,1,3,98,73,48,25,High Risk,1.49,0.54
18,0,144489.5,2,3,3,196605.62,3,3,180765.72,0,796,0,2,0,9,3,1,0,78,60,77,-17,Low Risk,0.77,1.25
47,1,125585.93,1,0,3,143513.34,0,10,31061.02,2,787,2,0,0,9,6,0,3,22,70,74,-4,Medium Risk,0.93,0.25
26,1,39150.32,4,2,0,189436.23,0,5,134680.29,1,815,0,2,1,4,3,1,3,4,62,71,-9,Medium Risk,0.86,3.44
46,2,178422.29,4,2,2,2539.57,1,3,105065.87,1,344,2,0,1,3,7,1,2,5,80,55,25,High Risk,1.43,0.59
34,0,95460.09,3,1,1,87521.89,2,10,187981.56,2,382,1,1,1,3,6,0,0,68,80,47,33,High Risk,1.67,1.97
77,4,49176.6,1,1,1,63837.15,1,9,58053.09,2,379,3,2,1,3,2,0,3,88,70,46,24,High Risk,1.49,1.18
50,0,153580.49,2,1,1,120455.9,3,2,214514.13,1,415,1,1,0,5,9,1,4,74,71,61,10,Medium Risk,1.15,1.4
53,1,174579.3,4,2,1,209265.02,0,9,77647.9,2,645,0,1,1,4,6,0,0,90,79,64,15,Medium Risk,1.22,0.44
45,0,119801.61,1,2,2,223706.18,1,6,225152.46,3,663,0,2,0,10,6,0,2,90,91,70,21,High Risk,1.28,1.88
59,1,119916.52,4,0,2,207369.38,2,4,215687.8,3,320,1,1,1,6,3,0,2,59,66,75,-9,Medium Risk,0.87,1.8
55,1,60759.68,4,2,3,167802.01,3,7,116465.19,2,439,0,2,0,3,2,1,1,42,62,61,1,Medium Risk,1.0,1.92
26,1,208639.32,4,3,1,65311.19,2,8,195552.59,0,803,3,2,1,7,7,1,4,24,45,100,-55,Low Risk,0.45,0.94
42,6,236826.97,3,3,1,243946.48,1,4,35807.54,0,793,0,0,0,9,5,1,0,49,46,91,-45,Low Risk,0.5,0.15
21,1,119921.53,2,0,1,215749.85,1,3,31717.83,2,677,3,2,1,8,3,1,3,39,46,81,-35,Low Risk,0.56,0.26
40,0,104468.13,3,1,0,42081.79,1,1,11306.33,3,834,1,2,1,10,0,1,4,67,25,93,-68,Low Risk,0.27,0.11
56,0,191189.73,4,0,3,39287.11,2,2,11202.16,0,783,0,2,1,3,3,0,4,8,29,87,-58,Low Risk,0.33,0.06
57,4,164263.5,3,0,1,169979.79,1,6,56286.37,2,537,1,2,1,3,5,1,4,33,55,72,-17,Low Risk,0.75,0.34
54,1,187588.82,4,0,3,33715.66,2,10,62657.92,3,392,2,2,0,3,8,0,2,38,73,76,-3,Medium Risk,0.95,0.33
29,2,174647.51,2,3,1,67467.32,2,9,136455.19,3,528,3,2,1,6,1,0,1,86,62,76,-14,Low Risk,0.81,0.78
44,0,33310.41,3,1,1,21599.87,0,2,15345.31,0,363,0,2,1,8,10,0,2,30,79,37,42,High Risk,2.08,0.46
33,1,128842.13,2,0,1,84924.09,1,5,40776.05,2,601,1,2,0,4,1,0,3,54,56,61,-5,Medium Risk,0.9,0.32
44,1,111101.57,3,3,1,197238.73,3,2,166722.13,1,411,2,0,1,0,7,0,3,75,63,58,5,Medium Risk,1.07,1.5
46,1,83153.45,4,1,3,116975.17,2,1,3227.66,0,535,3,1,1,6,9,1,0,81,36,68,-32,Low Risk,0.52,0.04
70,0,64950.62,1,3,2,139244.49,0,5,563.92,1,586,1,0,0,6,4,1,1,89,58,55,3,Medium Risk,1.04,0.01
18,2,228382.1,2,3,0,157405.41,0,9,25999.16,3,583,0,1,1,8,4,1,4,69,67,75,-8,Medium Risk,0.88,0.11
22,0,87762.01,1,2,0,219780.38,0,2,202187.89,3,618,2,1,0,10,8,1,0,47,99,45,54,High Risk,2.15,2.3
78,1,147353.15,4,0,3,81529.96,1,10,2903.6,1,819,1,0,0,8,4,0,2,94,48,92,-44,Low Risk,0.52,0.02
32,1,71111.68,2,3,3,5923.26,3,2,226138.0,0,726,2,0,1,7,6,1,2,48,50,63,-13,Low Risk,0.78,3.18
28,1,68885.13,4,0,0,242954.87,1,8,132773.34,3,695,0,2,0,6,0,0,1,38,75,70,5,Medium Risk,1.06,1.93
60,1,15943.82,4,2,3,21692.92,1,9,3015.14,3,605,1,0,0,3,5,1,2,23,53,55,-2,Medium Risk,0.95,0.19
71,0,122384.76,3,1,0,108119.77,1,3,105794.86,3,664,0,0,0,5,10,0,0,75,63,64,-1,Medium Risk,0.97,0.86
67,0,199241.5,4,3,3,53675.92,2,7,169126.25,3,490,2,0,1,4,6,0,2,32,58,79,-21,Low Risk,0.72,0.85
85,1,166999.7,1,2,2,119046.06,2,3,26532.05,2,381,3,0,1,1,8,0,3,63,53,70,-17,Low Risk,0.75,0.16
63,0,150706.35,4,1,1,26423.42,3,6,135588.89,2,640,3,0,1,8,9,0,4,2,48,75,-27,Low Risk,0.63,0.9
68,1,248783.93,4,0,2,186677.13,2,8,68676.11,3,584,3,2,1,3,10,0,2,67,54,90,-36,Low Risk,0.59,0.28
21,0,144416.76,1,3,2,141372.15,1,10,56491.06,3,567,3,2,0,2,5,1,1,100,75,64,11,Medium Risk,1.15,0.39
77,1,49317.48,4,1,0,217793.0,0,6,99446.99,3,451,3,1,1,4,0,0,1,54,55,57,-2,Medium Risk,0.95,2.02
23,0,55668.18,3,2,2,101418.07,1,7,49135.3,2,681,3,1,0,8,7,1,2,58,66,66,0,Medium Risk,0.99,0.88
80,0,173237.05,1,0,0,151461.61,1,5,33998.93,0,514,1,0,0,2,8,1,2,51,53,57,-4,Medium Risk,0.91,0.2
68,0,67880.16,2,2,3,100410.73,3,3,117404.99,3,348,2,0,0,1,9,1,3,30,75,55,20,Medium Risk,1.34,1.73
66,1,77374.04,3,2,0,17464.11,1,6,57298.19,2,565,3,2,0,3,9,1,0,2,56,47,9,Medium Risk,1.17,0.74
57,0,112310.45,4,2,1,38258.62,1,3,189344.36,2,385,1,0,0,10,10,1,4,22,90,57,33,High Risk,1.55,1.69
84,0,173856.23,2,3,2,219354.99,3,5,154177.06,3,347,1,2,0,6,6,1,1,47,65,81,-16,Low Risk,0.79,0.89
72,1,84879.21,4,0,3,137943.42,0,5,234572.68,2,627,0,2,1,9,0,0,1,91,79,64,15,Medium Risk,1.22,2.76
35,0,85783.92,4,2,3,63919.7,0,3,128923.81,2,674,0,2,1,2,2,1,3,43,79,60,19,Medium Risk,1.3,1.5
69,0,136712.35,1,3,3,236928.11,0,7,145735.47,3,416,2,1,1,3,5,1,3,79,68,64,4,Medium Risk,1.05,1.07
31,0,179593.26,3,0,2,150637.05,0,10,79488.65,0,371,2,0,1,4,7,1,0,61,92,50,42,High Risk,1.8,0.44
20,0,177552.77,3,2,0,115880.46,2,5,136530.16,3,731,0,0,1,1,5,1,0,53,53,72,-19,Low Risk,0.73,0.77
46,0,176528.32,1,2,3,70152.61,3,1,162586.99,1,715,0,2,0,6,1,0,4,6,71,71,0,Medium Risk,0.99,0.92
24,0,180105.28,1,2,3,38915.35,0,3,96958.31,1,845,2,2,1,0,1,0,3,56,78,65,13,Medium Risk,1.18,0.54
32,0,113460.89,1,1,3,179721.55,0,9,186815.6,2,665,2,1,1,2,9,1,1,9,92,58,34,High Risk,1.56,1.65
38,0,2074.2,1,3,1,14292.76,0,8,99295.62,2,380,1,1,0,7,4,0,1,3,88,36,52,High Risk,2.38,47.85
66,0,62728.53,4,2,1,133986.84,0,7,199256.17,0,769,1,0,1,1,10,1,1,81,76,67,9,Medium Risk,1.12,3.18
47,0,203411.14,1,0,1,118118.44,2,2,29047.04,2,772,1,1,0,1,1,1,0,78,35,82,-47,Low Risk,0.42,0.14
82,0,78933.25,4,3,2,59116.67,3,4,26572.55,0,812,2,1,0,7,5,1,2,16,21,97,-76,Low Risk,0.21,0.34
45,0,208890.97,4,1,0,51770.18,3,8,146233.62,2,809,3,1,0,9,1,0,2,52,47,100,-53,Low Risk,0.47,0.7
23,0,77408.0,3,3,2,35667.76,2,7,214871.82,0,475,1,1,1,3,0,1,4,91,68,53,15,Medium Risk,1.26,2.78
50,7,172533.02,1,3,0,221663.8,2,4,71379.86,3,419,0,0,1,10,3,0,3,8,44,76,-32,Low Risk,0.57,0.41
68,1,221425.33,4,2,2,141238.18,0,3,89422.89,2,353,0,2,0,10,5,1,2,85,82,74,8,Medium Risk,1.09,0.4
75,1,203568.48,1,3,2,228167.34,1,4,142530.7,3,599,1,1,1,9,3,0,3,51,53,77,-24,Low Risk,0.68,0.7
22,0,44839.93,4,0,2,121578.34,1,10,31713.47,0,573,3,2,0,3,4,0,1,34,79,46,33,High Risk,1.68,0.71
80,1,133859.38,3,3,1,189135.56,1,2,48473.27,0,414,1,0,0,2,3,0,1,23,55,60,-5,Medium Risk,0.9,0.36
52,1,111974.49,2,3,0,160596.39,2,5,114139.71,0,364,1,0,0,8,10,0,2,77,59,66,-7,Medium Risk,0.88,1.02
46,1,30399.5,3,1,0,103020.04,2,7,129814.83,0,677,3,0,1,10,2,1,3,72,26,69,-43,Low Risk,0.37,4.27
